name,lat,lon,type,year,size,address,inscription,coordinates_dd,Survey_date,Condition comment,Condition level ,photo_filename,flood_related,belief_function,belief_function_sub,belief_function_note,relocated,relocation_note,zone
手島の水天宮碑,36.124283,139.387287,water,1977年,高さ85cm 幅60cm 厚10cm,熊谷市手島,昭和五十二年三月吉日建之　大字手島氏子一同,"36.124283, 139.387287",2025年3月2日,手島神社境内にある「水天宮」石碑。状態はとてもよい。特に表面の文字ははっきり見える。,★★★★★,tejima_suitengu_monument.jpg,,,,,,,b
明秋神社境内の水神宮碑,36.05742,139.480485,water,1810年,高さ60cm 幅30cm 厚18cm,埼玉県比企郡吉見町明秋510 　明秋神社境内,文化七　十二月吉日　願主　巣殿谷,"36.05742, 139.480485",2025年3月2日,笠上部に若干の地衣類付着以外、目立った劣化は見られない。,★★★★☆,myosyu_shrine_suijingu.jpg,,,,,,,b
明秋神社の水神大神,36.057373,139.48043,water,1915年,高さ52cm 幅 29cm 厚 - cm,埼玉県比企郡吉見町明秋510 　明秋神社境内,願主　宮崎由三？,"36.057373, 139.48043",2025年3月2日,木の根元に隠れてしまっている。側面に若干の地衣類。大正四年（1915）三月建立,★★★★☆,myosyu_shrine_suijinokami.jpg,,,,,,,b
高本高城神社の水神宮碑,36.100362,139.405692,water,-,高さ60cm 幅40cm 厚7cm,熊谷市高本562　高城神社境内,-,"36.100362, 139.405692",2025年3月2日,層状になった濃いめの地衣類付着も表面の刻まれた文字ははっきり見える。水が流れたような跡あり。「大里村の石佛」に記載。遷座された石碑が並ぶ(うち瀧祭神社祠の祭神は瀬織津姫と思われる),★★☆☆☆,takagi_shrine_sujingu.jpg,,,,,,,b
吉見町江和井の水神宮碑,36.019682,139.498238,water,1802年,高さ69cm 幅34cm 厚20cm,吉見町江和井,(右)享和二戌年六月吉日　(左)江川、大和谷、⬜︎井、久保田、下細谷　新田,"36.019682, 139.498238",2025年3月8日,(□井　→荒井) 笠部分に黒ずみと分厚い地衣類。表面に若干の地衣類、台座にオレンジの地衣類。洪水常襲地帯。堤防下に注連竹で囲まれ祀られている。,★★☆☆☆,ewai_suijingu.jpg,,,,,,,b
高尾橋、左の水神宮碑(昭和9年),36.026813,139.505488,water,1934年,高さ74cm 幅35cm 厚6cm,北本市高尾,"(裏面)
河岸水神講中
昭和九年三月吉日
発起者　新井米八　□沼亀吉 
世話人　田島太郎　新井勘次　天沼榮之助

(右)、(左)側面には銘文なし","36.026813, 139.505488",2025年3月8日,側面から裏面にかけて地衣類付着。明治の水害を経験。注連竹で祀られる。JAさいたま広報誌2024年6月号表紙、特集技師にも。,★★★★☆,takao_bridge_suijingu(left).jpg,,,,,,,b
高尾橋、右の水神宮碑(昭和42年),36.026798,139.505492,water,1967年,高さ55cm 幅20cm 厚15cm,北本市高尾,"(右)昭和四十二年七月吉日
(左)判別不能","36.026798, 139.505492",2025年3月8日,比較的新しいはずだが各所に剥落あり。刻まれた文字ははっきり見える。,★★★★☆,takao_bridge_suijingu(right).jpg,,,,,,,b
冠水橋架設祈念碑よこの水神宮碑,36.042628,139.506388,water,1932年,高さ110cm 幅55cm 厚10cm,鴻巣市滝馬室,架橋竣成昭和七年五月廿六？日　神宮祭祀　昭和十二年一月十五日　発起人　金子善太郎他19人の名前,"36.042628, 139.506388",2025年3月8日,黄色い地衣類に覆われているが正面に刻まれた文字は鮮明である。道の先には冠水橋（沈下橋）である原馬室橋が位置している。,★★★★☆,flooding_bridge_takimamuro_suijingu.jpg,,,,,,,b
小谷の水神碑,36.079953,139.464783,water,1895年,高さ70cm 幅42cm 厚10cm,吹上町小谷,明治廿八年三月十七日　堤根側氏子中,"36.079953, 139.464783",2025年3月14日,表面が焼けたかのような色になっている。裏面の文字は鮮明。,★★★☆☆,koya_suijin.jpg,,,,,,,b
久下八幡神社の水神宮碑,36.107233,139.436598,water,1856年,高さ67cm 幅29cm 厚11cm,熊谷市久下,(左側面)安政三⬜︎年六月吉日　(裏面)江川村,"36.107233, 139.436598",2025年3月14日,2018年頃には亀裂部分から分離していた記録写真ががあるが、調査日には修復されていた。亀裂より下半分は地衣類多く付着。,★★★☆☆,kuge_hachimangu_suijingu.jpg,,,,,,,b
飯島新田の水神宮碑,36.023975,139.481125,water,1807年,高さ52cm 幅20cm 厚11cm,吉見町飯島新田,(左)飯島新田願主　江森新五郎　(右)文化四甲子歳正月吉日,"36.023975, 139.481125",2025年3月23日,洪水常襲地帯。銘文中「文□四(のこりは判別不能)」正面風化、亀裂、地衣類少し付着。側面の文字は判読可能,★★☆☆☆,iijima_shinden_suijingu.jpg,,,,,,,b
馬能堂荒工稲荷境内の水天宮碑,35.887497,139.557457,water,1894年,高さ90cm 幅73cm 厚9cm,さいたま市西区飯田新田２５２,(裏面)明治二十七年九月吉日建立　北足立郡馬宮村大字飯田新田　発企人岡田由之じょう　世話人3人の名前　台座に大字植田谷本村新田6人　大字二ツ宮3人　大字西遊馬1人　大字大宮1人　入間郡東大久保2人　同郡南畑3人,"35.887497, 139.557457",2025年3月23日,台座50cm 稲荷大明神境内の、水天宮。正面に地衣類付着も裏面は少ない。,★★★★☆,arako_sujtengu.jpg,,,,,,,c
