location_name,lat,lon,title,author,publisher,size,notes,,,library,
熊谷市役所,36.147319,139.388637,新編熊谷風土記 熊谷レポート第2集,日下部朝一郎 著,"熊谷 : 熊谷市郷土文化会 , 1965",334p ; 21cm,pp.333-334 「村岡の雨乞い」 [九頭竜さまの雨乞い],,,https://dl.ndl.go.jp/pid/9545013,
熊谷市役所,36.147319,139.388637,江南町の石仏,江南町教育委員会 編集,江南町(熊谷市) : 1999年,,pp.3 「波乗弁財天」「成沢赤城神社の弁財天」 Web資料,,,https://www.kumagaya-bunkazai.jp/kounanmatinoiseki/sekibutu.pdf,
熊谷市役所,36.147319,139.388637,熊谷デジタルミュージアム,熊谷市立江南文化センター,江南町(熊谷市),,「波乗り弁財天（旧円光寺）」「弁財天（成沢赤城神社）」 常設展示室タブ>石造物の部屋>弁才天,,,https://www.kumagaya-bunkazai.jp/museum/index.htm,
熊谷市役所,36.147319,139.388637,日本石仏入門,日下部朝一郎 著,東京 : 国書刊行会,,pp.80-84「弁才天」pp.134-136「水の神々」,,,http://id.ndl.go.jp/bib/000001242061,
熊谷市役所,36.147319,139.388637,大里村の石佛,大里村史編さん室,大里村長 堀茂平 : 昭和六十二年六月,,pp.19-20 「3、水神塔」[大里村_四基][小八林地区_九頭龍大権現] 、pp.20「4、弁才天」[大里村で_三基][津田地区の稲荷社近く_],,,https://www.kumagaya-bunkazai.jp/kounanmatinoiseki/ost_osatomuranosekibutu_web.pdf,
長瀞町役場,36.114809,139.10971,長瀞町史 民俗編2(野の石造物),長瀞町教育委員会,長瀞町 : 1991.3,335p ; 22cm,pp.8-9、pp.20-21「水神塔」pp.70「長瀞 小滝 」pp.132「本野上_水天供養塔」pp.137「下野_水神塔」pp.216-.217「矢那瀬地区」その他多数,,,https://dl.ndl.go.jp/pid/13136282,
長瀞町役場,36.114809,139.10971,長瀞町史 民俗編1,長瀞町教育委員会,長瀞町 : 1999.3,541p ; 22cm,pp.293「水神碑二基_下野側と井戸側」pp.326「県立自然史博物館前_小祠」「一年間災いがない」pp.335「船玉祭」pp.405「川面地区_水神様の祭」pp.526「小滝」,,,http://id.ndl.go.jp/bib/000002810090,
寄居町役場,36.118356,139.193005,よりいの石仏,教育委員会,", 1991.3",335p ; 22cm,pp.24「金尾_子供らが」pp.43「水神塔」pp.54「巳待供養塔」,,,https://dl.ndl.go.jp/pid/12709079,
寄居町役場,36.118356,139.193005,寄居町の民俗(町史編さん調査報告 ; 第8集),寄居町教育委員会 (埼玉県),寄居町 (埼玉県) : 寄居町教育委員会 : 1982.3,165p ; 26cm,pp.122-123「水天宮」、pp.158「図48_水神岩」pp.132「弁財天」,,,http://id.ndl.go.jp/bib/000001559384,
埼玉県庁,35.857002,139.648847,荒川 : 荒川総合調査報告書. 4 (人文 3),埼玉県 編,"[浦和] : 埼玉県, 1988.2",743p ; 27cm,◆pp.405-426「荒川流域の水神信仰」pp.433-484「荒川の口頭伝承_伝説・昔話」,,,http://id.ndl.go.jp/bib/000001911702,
埼玉県庁,35.857002,139.648847,荒川 : 荒川総合調査報告書. 3 (人文 2),埼玉県 編,"[浦和] : 埼玉県, 1988.3",766p ; 27cm,pp.75-115「荒川の水害史と予防組合_荒川の水害史」pp.175「早瀬の渡し_水神宮」,,,http://id.ndl.go.jp/bib/000001904438,
埼玉県庁,35.857002,139.648847,荒川 : 荒川総合調査報告書. 1 (自然),埼玉県 編,"[浦和] : 埼玉県, 1987.3",722p ; 27cm,pp.9-22「荒川水系の概観_荒川の名称」,,,http://id.ndl.go.jp/bib/000001871191,
埼玉県庁,35.857002,139.648847,荒川の水運(歴史の道調査報告書 ; 第7集),さきたま資料館 (埼玉県立),"[浦和] : 埼玉県教育委員会, 1987.3",76p ; 30cm,pp.19-38「親鼻の渡し」、pp.40-43、pp.48「水神碑リスト」pp.49「荒川沿岸の史跡・文化財等」◆pp.67「荒川沿岸の史跡・文化財等の地図」,,,http://id.ndl.go.jp/bib/000001881489,
埼玉県庁,35.857002,139.648847,元荒川の水運 (歴史の道調査報告書 ; 第13集),埼玉県立博物館 編,"[浦和] : 埼玉県教育委員会, 1991.3",48p ; 30cm,pp.25、pp.28-29「沿岸の水神信仰」pp.29-30、pp.31「元荒川沿岸の史跡・文化財等」◆pp.43「元荒川沿岸の史跡・文化財等地図」,,,http://id.ndl.go.jp/bib/000002118388,
埼玉県庁,35.857002,139.648847,雨の神 : 信仰と伝説(民俗民芸双書 ; 94),高谷重夫 著,"東京 : 岩崎美術社, 1984.8",305p ; 19cm,pp.8-「水神と雨の神_水の神と水神」,,,http://id.ndl.go.jp/bib/000001697702,
埼玉県庁,35.857002,139.648847,荒川サイクリングマップ,自転車生活ブックス編集部 編,"東京 : ロコモーティブパブリッシング, 2009.6",61p ; 21cm,荒川サイクリングロード,,,http://id.ndl.go.jp/bib/000010300480,
埼玉県庁,35.857002,139.648847,インド神話伝説辞典,菅沼晃 編,"東京 : 東京堂出版, 1985.3",454p ; 20cm,pp.7、pp.28、pp.71「ヴァルナ」、pp.400,,,http://id.ndl.go.jp/bib/000001736087,
埼玉県庁,35.857002,139.648847,埼玉の文化財 第六十五号,埼玉県文化財保護協会／編,"さいたま : 埼玉県文化財保護協会, 2025.3",170p ; 21cm,pp.32-41「埼玉県東部の水と祈り~荒川水系の水神信仰~」,,,https://ndlsearch.ndl.go.jp/books/R100000001-I11213464409#bib,
埼玉県庁,35.857002,139.648847,関東の民間信仰,日向野徳久 [等]共著,"東京 : 明玄書房, 1973",379p : 22cm,pp.90「水神信仰は、ミツハノメノミコト(水早女命・罔象女命)を信仰の対象とする。」,,,http://id.ndl.go.jp/bib/000001218941,
埼玉県庁,35.857002,139.648847,明治四十三年埼玉県水害誌,埼玉県,"浦和 : 埼玉県立浦和図書館, 1987.3",441p(24p) : 22cm,pp.27「荒川流域」,,,http://id.ndl.go.jp/bib/000001887453,
朝霞市役所,35.797255,139.593915,朝霞市史調査報告書 第9集 (朝霞の石造物 1),朝霞市教育委員会市史編さん室 編,"朝霞市 : 朝霞市教育委員会市史編さん室, 1992.3",227p ; 26cm,pp.45「水神宮・水天宮」、pp.72、◆pp.136-「水神宮_写真付きリスト」,,,http://id.ndl.go.jp/bib/000002196884,
板橋区役所,35.751182,139.709284,石仏 改定版 (文化財シリーズ ; 第79集) (いたばしの石造文化財 ; その4),東京都板橋区教育委員会,"東京 : 板橋区教育委員会, 1995.3",102p ; 21cm×30cm,pp.29「長徳寺弁才天」,,,http://id.ndl.go.jp/bib/000002437781,
板橋区役所,35.751182,139.709284,いたばしの文化財 第2集,[東京都]板橋区教育委員会事務局社会教育課 編,"東京 : 板橋区教育委員会, 1988.3",20p ; 30cm,pp.10「早瀬の渡し水神宮碑」裏面の銘文,,,http://id.ndl.go.jp/bib/000001915420,
